wavelength	s1	s2	s3	s4	s5	s6	s7	s8
1.59464	-10.5602	-10.916	-29.4099	-34.691	-33.155	-35.2245	-37.5998	-39.1345
1.59463	-11.3044	-9.73208	-28.3104	-34	-33.3193	-36.12	-39.217	-41.1991
1.59462	-12.0009	-8.59777	-27.8221	-33.9732	-34.0941	-37.6296	-41.8737	-44.7561
1.59461	-12.6721	-7.5567	-27.8825	-34.6349	-35.6107	-39.9094	-45.7716	-51.107
1.5946	-13.3549	-6.6352	-28.4163	-36.1212	-38.1918	-43.0755	-47.4294	-51.429
1.59459	-14.0921	-5.84733	-29.1681	-38.7619	-42.7355	-45.9657	-43.3488	-44.7519
1.59458	-14.9237	-5.19953	-29.3917	-43.1718	-52.5262	-44.7624	-39.6592	-40.8982
1.59457	-15.8817	-4.69389	-28.195	-46.4683	-47.0341	-41.696	-37.1649	-38.5358
1.59456	-16.9855	-4.33019	-25.9219	-41.4179	-40.5191	-39.3871	-35.524	-37.0572
1.59455	-18.2353	-4.10706	-23.5072	-37.226	-37.2397	-37.9688	-34.5162	-36.1965
1.59454	-19.6005	-4.02259	-21.3771	-34.6407	-35.4219	-37.2948	-34.0249	-35.8172
1.59453	-21.0022	-4.07448	-19.6085	-33.1123	-34.5505	-37.2864	-33.9935	-35.8377
1.59452	-22.3028	-4.25997	-18.1725	-32.3882	-34.4553	-37.9486	-34.4049	-36.1978
1.59452	-23.3406	-4.57542	-17.0163	-32.3858	-35.1317	-39.3849	-35.2745	-36.8352
1.59451	-24.0313	-5.01568	-16.0806	-33.1393	-36.735	-41.8676	-36.6546	-37.6651
1.5945	-24.4479	-5.57299	-15.2994	-34.8103	-39.7279	-46.0449	-38.6481	-38.5656
1.59449	-24.7684	-6.23566	-14.5985	-37.7176	-45.5084	-52.1964	-41.44	-39.3937
1.59448	-25.1674	-6.98639	-13.8979	-41.503	-50.2665	-48.9881	-45.3107	-40.0571
1.59447	-25.7647	-7.80083	-13.1266	-40.2512	-41.8047	-43.9714	-49.9505	-40.5997
1.59446	-26.6252	-8.64744	-12.2425	-35.7215	-37.1939	-41.1486	-50.7033	-41.2039
1.59445	-27.7648	-9.49013	-11.2472	-32.4148	-34.5024	-39.6626	-47.914	-42.1254
1.59444	-29.1316	-10.2952	-10.1798	-30.2306	-32.8928	-39.1459	-46.026	-43.6748
1.59443	-30.548	-11.0417	-9.09673	-28.8599	-32.0578	-39.4859	-45.2203	-46.3298
1.59442	-31.6637	-11.73	-8.05157	-28.1276	-31.8831	-40.6945	-45.0421	-51.0615
1.59441	-32.133	-12.3842	-7.08538	-27.9197	-32.3617	-42.7091	-44.8294	-55.417
1.59441	-32.0024	-13.0458	-6.22543	-28.0931	-33.5888	-44.3241	-43.8751	-48.7655
1.5944	-31.6642	-13.7631	-5.48801	-28.3311	-35.833	-42.6954	-42.1673	-43.9318
1.59439	-31.469	-14.5827	-4.88197	-28.0242	-39.827	-39.3925	-40.2991	-40.9094
1.59438	-31.6009	-15.5436	-4.41148	-26.6905	-48.0942	-36.5917	-38.7065	-38.9332
1.59437	-32.138	-16.674	-4.07805	-24.632	-46.2589	-34.5504	-37.5522	-37.6757
1.59436	-33.0991	-17.986	-3.88166	-22.4514	-38.9955	-33.1631	-36.8838	-36.9832
1.59435	-34.4231	-19.4633	-3.82145	-20.4718	-35.4007	-32.3383	-36.7285	-36.7806
1.59434	-35.8409	-21.0371	-3.89601	-18.7827	-33.4262	-32.0325	-37.1362	-37.0334
1.59433	-36.716	-22.5536	-4.10327	-17.3806	-32.4915	-32.2486	-38.2116	-37.7252
1.59432	-36.4834	-23.7819	-4.44025	-16.232	-32.4249	-33.0444	-40.1624	-38.8262
1.59431	-35.4974	-24.5453	-4.90234	-15.2926	-33.2632	-34.5662	-43.3428	-40.2146
1.5943	-34.4791	-24.8953	-5.4823	-14.5106	-35.2831	-37.1605	-47.2514	-41.5051
1.5943	-33.8168	-25.0721	-6.16889	-13.826	-39.3026	-41.8365	-45.607	-42.0028
1.59429	-33.651	-25.3179	-6.94512	-13.1723	-45.9523	-55.0601	-41.1346	-41.4256
1.59428	-34.0552	-25.7884	-7.78675	-12.4845	-39.943	-46.568	-37.9373	-40.3648
1.59427	-35.1331	-26.566	-8.66193	-11.7149	-34.1072	-39.3384	-35.8185	-39.4468
1.59426	-37.1053	-27.6838	-9.53388	-10.8471	-30.5971	-35.8757	-34.472	-38.9563
1.59425	-40.5283	-29.1233	-10.368	-9.89998	-28.3161	-33.9198	-33.7358	-39.0086
1.59424	-47.3772	-30.7602	-11.1425	-8.91619	-26.8357	-32.9033	-33.5353	-39.6995
1.59423	-54.1308	-32.2646	-11.858	-7.94477	-25.9595	-32.6333	-33.8516	-41.1996
1.59422	-43.1076	-33.1501	-12.5401	-7.02867	-25.5762	-33.0776	-34.7101	-43.8996
1.59421	-38.5415	-33.267	-13.2326	-6.19979	-25.5854	-34.3343	-36.1776	-48.8969
1.5942	-36.0098	-33.0447	-13.9868	-5.47932	-25.8139	-36.7105	-38.3338	-57.0734
1.59419	-34.5605	-32.993	-14.8525	-4.88023	-25.9062	-41.0602	-41.0226	-48.8703
1.59418	-33.8612	-33.4302	-15.8721	-4.40987	-25.3615	-48.8061	-42.7373	-43.513
1.59418	-33.7738	-34.589	-17.0775	-4.07208	-23.9855	-43.1336	-41.458	-40.4987
1.59417	-34.2435	-36.8081	-18.4833	-3.86856	-22.1322	-37.3094	-39.1385	-38.6791
1.59416	-35.2474	-40.9239	-20.0715	-3.79974	-20.236	-34.048	-37.3793	-37.6355
1.59415	-36.7165	-49.6297	-21.7572	-3.86519	-18.5192	-32.0991	-36.3892	-37.1644
1.59414	-38.2999	-45.0951	-23.3428	-4.06375	-17.0463	-31.0194	-36.1338	-37.1224
1.59413	-38.9977	-38.3015	-24.5373	-4.3932	-15.8134	-30.6347	-36.6067	-37.3384
