wavelength	S21&S51	S31&S41
1.5	0.20144	0.19021
1.502	0.20527	0.19366
1.504	0.20903	0.19701
1.506	0.21267	0.20025
1.508	0.21615	0.20339
1.51	0.21943	0.20644
1.512	0.22254	0.20942
1.514	0.2255	0.21233
1.516	0.22835	0.21516
1.518	0.23111	0.21787
1.52	0.23375	0.22042
1.522	0.23624	0.22279
1.524	0.23853	0.22498
1.526	0.2406	0.22699
1.528	0.24244	0.22884
1.53	0.24408	0.23055
1.532	0.24558	0.23211
1.534	0.24696	0.23349
1.536	0.24824	0.23467
1.538	0.2494	0.23562
1.54	0.25041	0.23633
1.542	0.25122	0.23681
1.544	0.25183	0.23708
1.546	0.25223	0.23717
1.548	0.25247	0.23709
1.55	0.25259	0.23686
1.552	0.25262	0.23646
1.554	0.25257	0.23589
1.556	0.25242	0.23513
1.558	0.25215	0.23417
1.56	0.25171	0.23305
1.562	0.25109	0.23178
1.564	0.25031	0.23039
1.566	0.2494	0.22892
1.568	0.2484	0.22737
1.57	0.24734	0.22574
1.572	0.24623	0.22401
1.574	0.24507	0.22218
1.576	0.24382	0.22024
1.578	0.24245	0.2182
1.58	0.24095	0.21609
1.582	0.23933	0.21393
1.584	0.2376	0.21174
1.586	0.23581	0.20954
1.588	0.23399	0.20731
1.59	0.23216	0.20505
1.592	0.2303	0.20275
1.594	0.22839	0.2004
1.596	0.2264	0.19801
1.598	0.2243	0.1956
1.6	0.22211	0.19321
