wavelength	S31	S41	S51	S61	S32	S42	S52	S62
1.5	0.15024	0.08453	0.09107	0.02851	0.09193	0.03153	0.08499	0.08479
1.502	0.14672	0.07994	0.09558	0.03258	0.09639	0.03795	0.09067	0.0804
1.504	0.14456	0.07739	0.10085	0.03797	0.10162	0.0452	0.09686	0.07801
1.506	0.14384	0.07697	0.10687	0.04465	0.10762	0.05315	0.10357	0.07772
1.508	0.14463	0.07872	0.11361	0.05253	0.11436	0.06169	0.11077	0.07956
1.51	0.14699	0.08255	0.12104	0.06146	0.1218	0.0707	0.11849	0.08345
1.512	0.15097	0.0883	0.12913	0.07129	0.12992	0.08007	0.12675	0.08922
1.514	0.15652	0.09578	0.1379	0.08186	0.13871	0.08973	0.13556	0.0967
1.516	0.16345	0.1048	0.14729	0.09306	0.14811	0.09958	0.14484	0.10569
1.518	0.17153	0.1151	0.15716	0.10471	0.15798	0.1095	0.15447	0.11596
1.52	0.18052	0.12637	0.16736	0.11659	0.16816	0.11935	0.16434	0.12721
1.522	0.19021	0.13824	0.17771	0.12846	0.17846	0.12903	0.17437	0.13908
1.524	0.20037	0.1504	0.1881	0.14011	0.18875	0.13846	0.18446	0.15125
1.526	0.21068	0.16256	0.19836	0.15142	0.19889	0.14762	0.19449	0.16341
1.528	0.22083	0.17444	0.20829	0.16225	0.2087	0.15648	0.20429	0.1753
1.53	0.23051	0.18575	0.21767	0.17249	0.21797	0.16497	0.2137	0.18662
1.532	0.23948	0.19623	0.22629	0.182	0.2265	0.17303	0.22257	0.19709
1.534	0.24752	0.20562	0.23397	0.19065	0.23412	0.18065	0.23077	0.20647
1.536	0.2544	0.21374	0.24063	0.19841	0.24073	0.18785	0.23819	0.21455
1.538	0.25989	0.22043	0.24618	0.20525	0.24624	0.19466	0.24466	0.2212
1.54	0.26376	0.22558	0.25051	0.21118	0.25056	0.20112	0.25006	0.22632
1.542	0.26589	0.22909	0.25353	0.21617	0.25358	0.20721	0.25428	0.22982
1.544	0.26617	0.23093	0.25519	0.22019	0.25521	0.21293	0.25722	0.23166
1.546	0.26456	0.23113	0.25544	0.22323	0.25545	0.21826	0.2588	0.23187
1.548	0.26105	0.22979	0.25433	0.22535	0.2543	0.22322	0.25894	0.23057
1.55	0.25564	0.22702	0.25187	0.22663	0.25182	0.22784	0.25761	0.22786
1.552	0.24841	0.22297	0.24813	0.22718	0.24806	0.23217	0.25483	0.22389
1.554	0.23955	0.2178	0.24314	0.22709	0.24307	0.23621	0.25068	0.21878
1.556	0.22929	0.21169	0.23693	0.22639	0.2369	0.23996	0.24527	0.21273
1.558	0.2179	0.20491	0.22959	0.22516	0.22963	0.24337	0.23869	0.20598
1.56	0.20562	0.19772	0.22124	0.22346	0.22141	0.24637	0.231	0.19881
1.562	0.19265	0.19038	0.21207	0.22139	0.2124	0.24894	0.22227	0.19145
1.564	0.17927	0.18308	0.20225	0.21904	0.20277	0.25105	0.21265	0.18412
1.566	0.16578	0.17597	0.19197	0.21644	0.19268	0.25269	0.20235	0.17695
1.568	0.1525	0.16922	0.18138	0.2136	0.18229	0.25385	0.19158	0.17014
1.57	0.13971	0.16303	0.17064	0.2105	0.17174	0.25444	0.18053	0.1639
1.572	0.12763	0.15763	0.1599	0.20714	0.16117	0.25439	0.16929	0.15845
1.574	0.11645	0.15318	0.14931	0.20354	0.15073	0.25359	0.15797	0.15395
1.576	0.10638	0.14975	0.139	0.19971	0.14053	0.25201	0.14669	0.15046
1.578	0.09767	0.14735	0.12907	0.19561	0.13068	0.24961	0.13567	0.14802
1.58	0.09055	0.14602	0.11959	0.19119	0.12126	0.24638	0.12512	0.14664
1.582	0.08518	0.14584	0.11063	0.18645	0.11235	0.24233	0.11519	0.14642
1.584	0.0816	0.14688	0.10227	0.18138	0.10402	0.2374	0.10593	0.14742
1.586	0.07982	0.14914	0.09455	0.17606	0.09632	0.23159	0.09735	0.14963
1.588	0.07983	0.15251	0.08752	0.17048	0.08928	0.22488	0.08949	0.15293
1.59	0.08168	0.1568	0.0812	0.16465	0.08292	0.21735	0.08245	0.15716
1.592	0.08533	0.16189	0.07558	0.15854	0.07724	0.20907	0.07631	0.16221
1.594	0.09066	0.16774	0.07067	0.15215	0.07223	0.20013	0.07106	0.16804
1.596	0.09742	0.17431	0.06645	0.14553	0.06788	0.19057	0.06662	0.17459
1.598	0.10539	0.18147	0.06287	0.13876	0.06413	0.18043	0.06283	0.18175
1.6	0.11439	0.189	0.05989	0.13189	0.06096	0.16976	0.05962	0.18929
