wavelength	TE-through	TE-cross	TM-through	TM-cross
1600	0.96144	7.32972E-4	6.799E-4	0.86759
1590	0.96156	3.55713E-4	3.45888E-4	0.87577
1580	0.96352	3.81881E-4	4.01418E-4	0.88618
1570	0.96058	5.83362E-4	6.05364E-4	0.89133
1560	0.96314	9.00117E-4	8.0282E-4	0.89597
1550	0.95805	0.00103	8.4106E-4	0.89678
1540	0.96126	9.34368E-4	8.58235E-4	0.89533
1530	0.95708	6.33635E-4	6.82778E-4	0.89056
1520	0.95503	5.09226E-4	4.83725E-4	0.88198
1510	0.95698	3.33097E-4	3.3279E-4	0.87336
1500	0.95231	3.2245E-5	1.91866E-4	0.86505
