wavelength	S31	S41	S51	S61	S32	S42	S52	S62
1500	0.14598	0.07741	0.09678	0.03213	0.0979	0.04239	0.09258	0.07831
1502	0.14352	0.07459	0.10142	0.03716	0.10257	0.0495	0.09831	0.07554
1504	0.14221	0.07356	0.10669	0.04329	0.10787	0.05721	0.10443	0.07454
1506	0.14214	0.0743	0.11259	0.05046	0.11381	0.06545	0.11096	0.07533
1508	0.14337	0.0768	0.11913	0.05856	0.12038	0.07411	0.11792	0.07788
1510	0.14593	0.08099	0.12626	0.06749	0.12754	0.08312	0.12532	0.08211
1512	0.14981	0.08677	0.13395	0.07716	0.13526	0.09237	0.13315	0.08793
1514	0.15495	0.09399	0.14214	0.08743	0.14348	0.10178	0.14137	0.09519
1516	0.16127	0.10249	0.15077	0.09817	0.15213	0.11126	0.14994	0.10373
1518	0.16862	0.11206	0.15974	0.10926	0.16113	0.12073	0.15879	0.11333
1520	0.17684	0.12248	0.16897	0.12053	0.17038	0.13011	0.16786	0.12378
1522	0.18571	0.1335	0.17834	0.13184	0.17977	0.13933	0.17705	0.13484
1524	0.19501	0.14487	0.18773	0.14303	0.18919	0.14832	0.18626	0.14624
1526	0.20449	0.15634	0.19701	0.15394	0.19849	0.15704	0.19539	0.15773
1528	0.21392	0.16764	0.20604	0.16445	0.20754	0.16542	0.20433	0.16906
1530	0.22305	0.17854	0.21468	0.1744	0.2162	0.17343	0.21296	0.17999
1532	0.23166	0.18882	0.22279	0.1837	0.22431	0.18105	0.22118	0.19029
1534	0.23954	0.19827	0.23021	0.19225	0.23175	0.18825	0.22887	0.19976
1536	0.2465	0.20672	0.23684	0.2	0.23839	0.19501	0.23592	0.20823
1538	0.25239	0.21404	0.24254	0.20688	0.2441	0.20134	0.24224	0.21556
1540	0.25706	0.2201	0.24722	0.21289	0.24879	0.20723	0.24772	0.22163
1542	0.2604	0.22483	0.25081	0.21801	0.25239	0.21271	0.25228	0.22637
1544	0.26231	0.22818	0.25325	0.22225	0.25484	0.21777	0.25585	0.22973
1546	0.26271	0.23014	0.25451	0.22564	0.25611	0.22245	0.25834	0.2317
1548	0.26157	0.23073	0.25457	0.22819	0.25619	0.22676	0.25971	0.2323
1550	0.25885	0.22999	0.25345	0.22994	0.25508	0.23072	0.25991	0.23156
1552	0.25457	0.22799	0.25117	0.23094	0.2528	0.23434	0.25892	0.22957
1554	0.24877	0.22484	0.24777	0.23122	0.2494	0.23764	0.25672	0.22643
1556	0.24152	0.22066	0.24329	0.23085	0.24493	0.24062	0.25334	0.22226
1558	0.23295	0.21559	0.23781	0.22988	0.23945	0.2433	0.24881	0.2172
1560	0.2232	0.2098	0.23138	0.22838	0.23302	0.24566	0.24318	0.21141
1562	0.21246	0.20345	0.2241	0.22641	0.22575	0.2477	0.23652	0.20507
1564	0.20093	0.19672	0.21606	0.22404	0.2177	0.24939	0.22894	0.19835
1566	0.18884	0.18979	0.20736	0.22133	0.209	0.25074	0.22052	0.19143
1568	0.17643	0.18284	0.1981	0.21835	0.19974	0.25169	0.21139	0.1845
1570	0.16394	0.17604	0.18842	0.21515	0.19005	0.25224	0.20168	0.17771
1572	0.15161	0.16955	0.17842	0.21177	0.18005	0.25234	0.19151	0.17123
1574	0.13965	0.16352	0.16824	0.20823	0.16986	0.25197	0.18102	0.16521
1576	0.12829	0.15808	0.158	0.20456	0.15961	0.25109	0.17034	0.15978
1578	0.1177	0.15335	0.14782	0.20077	0.14942	0.24968	0.15958	0.15506
1580	0.10805	0.14943	0.13783	0.19684	0.13941	0.24769	0.14889	0.15115
1582	0.09949	0.1464	0.12812	0.19277	0.12968	0.24511	0.13836	0.14811
1584	0.09214	0.14431	0.11879	0.18854	0.12032	0.24192	0.1281	0.14602
1586	0.0861	0.1432	0.10992	0.18415	0.11141	0.2381	0.11822	0.1449
1588	0.08146	0.1431	0.10157	0.17957	0.10301	0.23365	0.10879	0.14478
1590	0.07828	0.14399	0.09378	0.1748	0.09517	0.22856	0.09989	0.14564
1592	0.07659	0.14586	0.08659	0.16984	0.08792	0.22284	0.09158	0.14748
1594	0.07642	0.14866	0.08002	0.16469	0.08128	0.21652	0.08391	0.15025
1596	0.07776	0.15234	0.07407	0.15936	0.07526	0.2096	0.07693	0.15388
1598	0.08057	0.15682	0.06875	0.15386	0.06987	0.20213	0.07063	0.15832
1600	0.08479	0.16201	0.06403	0.14821	0.06508	0.19415	0.06504	0.16346
								
