wavelength	S21&S51	S31&S41
1500	0.20449	0.208
1502	0.20752	0.21089
1504	0.21045	0.21371
1506	0.2133	0.21645
1508	0.21605	0.21911
1510	0.21869	0.22168
1512	0.22124	0.22415
1514	0.22367	0.22652
1516	0.22599	0.22878
1518	0.2282	0.23093
1520	0.23029	0.23296
1522	0.23226	0.23486
1524	0.23411	0.23664
1526	0.23583	0.23829
1528	0.23744	0.23979
1530	0.23892	0.24116
1532	0.24027	0.24239
1534	0.2415	0.24348
1536	0.2426	0.24441
1538	0.24357	0.2452
1540	0.24442	0.24585
1542	0.24515	0.24634
1544	0.24575	0.24669
1546	0.24623	0.24688
1548	0.2466	0.24694
1550	0.24684	0.24684
1552	0.24696	0.24661
1554	0.24697	0.24623
1556	0.24687	0.24572
1558	0.24666	0.24507
1560	0.24634	0.24429
1562	0.24592	0.24339
1564	0.2454	0.24236
1566	0.24478	0.24122
1568	0.24406	0.23996
1570	0.24326	0.2386
1572	0.24236	0.23714
1574	0.24138	0.23558
1576	0.24032	0.23393
1578	0.23918	0.23219
1580	0.23796	0.23038
1582	0.23668	0.22849
1584	0.23533	0.22654
1586	0.23391	0.22453
1588	0.23243	0.22246
1590	0.2309	0.22035
1592	0.22931	0.21819
1594	0.22766	0.216
1596	0.22597	0.21377
1598	0.22423	0.21153
1600	0.22245	0.20926
		
