wavelength	S31	S41	S51	S61	S32	S42	S52	S62
1500	0.14135	0.07612	0.11432	0.05287	0.11492	0.06825	0.11226	0.0774
1502	0.14258	0.07909	0.12053	0.06086	0.12112	0.07657	0.11858	0.08047
1504	0.145	0.08356	0.12728	0.06959	0.12786	0.08514	0.12527	0.08506
1506	0.14858	0.08945	0.13453	0.07893	0.13509	0.0939	0.13232	0.09106
1508	0.15329	0.09665	0.1422	0.08879	0.14277	0.10275	0.13971	0.09834
1510	0.15903	0.10499	0.15024	0.09905	0.15083	0.11163	0.14739	0.10677
1512	0.16569	0.11434	0.15855	0.10959	0.1592	0.12046	0.15534	0.11615
1514	0.17315	0.12448	0.16706	0.12028	0.16778	0.12919	0.16348	0.12631
1516	0.18123	0.13523	0.17566	0.13098	0.1765	0.13776	0.17175	0.13702
1518	0.18973	0.14635	0.18427	0.14159	0.18524	0.14612	0.18007	0.14808
1520	0.19847	0.15763	0.19277	0.15195	0.1939	0.15421	0.18835	0.15926
1522	0.20722	0.16884	0.20106	0.16196	0.20236	0.162	0.19649	0.17034
1524	0.21579	0.17973	0.20904	0.17149	0.21051	0.16945	0.2044	0.18111
1526	0.22396	0.19011	0.21661	0.18046	0.21821	0.17653	0.21198	0.19137
1528	0.23156	0.19976	0.22365	0.18876	0.22536	0.18322	0.21913	0.20093
1530	0.2384	0.20852	0.23007	0.19634	0.23183	0.1895	0.22574	0.20963
1532	0.24435	0.21623	0.23576	0.20315	0.23752	0.19536	0.23173	0.21734
1534	0.24928	0.22277	0.24064	0.20916	0.24234	0.2008	0.237	0.22394
1536	0.25307	0.22807	0.24463	0.21436	0.24621	0.20582	0.24149	0.22935
1538	0.25565	0.23205	0.24765	0.21875	0.24906	0.21042	0.24511	0.23351
1540	0.25695	0.23471	0.24966	0.22235	0.25085	0.21463	0.24781	0.23639
1542	0.25693	0.23606	0.25061	0.22518	0.25157	0.21846	0.24953	0.23798
1544	0.25555	0.23612	0.25049	0.22727	0.2512	0.22192	0.25025	0.2383
1546	0.25282	0.23498	0.24927	0.22865	0.24976	0.22506	0.24994	0.2374
1548	0.24873	0.2327	0.24699	0.22937	0.24728	0.22787	0.24859	0.23533
1550	0.24332	0.22941	0.24365	0.22945	0.2438	0.23039	0.24619	0.2322
1552	0.23666	0.22521	0.23929	0.22893	0.23937	0.23263	0.24278	0.2281
1554	0.22881	0.22025	0.23399	0.22786	0.23406	0.23461	0.23839	0.22315
1556	0.21988	0.21465	0.22779	0.22628	0.22794	0.23633	0.23306	0.21749
1558	0.21002	0.20857	0.22078	0.22423	0.22108	0.23779	0.22685	0.21127
1560	0.19939	0.20216	0.21304	0.22178	0.21355	0.23899	0.21984	0.20464
1562	0.18815	0.19555	0.20469	0.21896	0.20546	0.23992	0.21211	0.19777
1564	0.17652	0.18889	0.19581	0.21583	0.19687	0.24055	0.20376	0.1908
1566	0.16471	0.18231	0.18652	0.21245	0.18789	0.24088	0.19489	0.1839
1568	0.15292	0.17594	0.17695	0.20887	0.17861	0.24086	0.18559	0.17723
1570	0.14137	0.1699	0.1672	0.20514	0.16912	0.24048	0.17599	0.17091
1572	0.13027	0.16429	0.15739	0.20129	0.15953	0.2397	0.16617	0.16508
1574	0.1198	0.15923	0.14763	0.19735	0.14994	0.23849	0.15626	0.15985
1576	0.11013	0.15479	0.13804	0.19335	0.14044	0.23681	0.14634	0.15532
1578	0.10141	0.15105	0.1287	0.18929	0.13112	0.23465	0.13652	0.15157
1580	0.09377	0.14808	0.11969	0.18518	0.12207	0.23198	0.12689	0.14865
1582	0.08731	0.14593	0.1111	0.18101	0.11337	0.22878	0.11753	0.14661
1584	0.08211	0.14465	0.10298	0.17677	0.10509	0.22504	0.10852	0.14548
1586	0.07821	0.14426	0.09536	0.17244	0.09729	0.22076	0.09993	0.14527
1588	0.07566	0.14477	0.08829	0.16801	0.09001	0.21593	0.09181	0.14596
1590	0.07446	0.14617	0.08177	0.16346	0.08329	0.21057	0.08422	0.14753
1592	0.07462	0.14846	0.07582	0.15879	0.07715	0.20469	0.07719	0.14994
1594	0.0761	0.15159	0.07042	0.15398	0.07159	0.19833	0.07077	0.15314
1596	0.07887	0.15552	0.06557	0.14904	0.06661	0.1915	0.06496	0.15707
1598	0.08287	0.16017	0.06126	0.14397	0.06222	0.18426	0.05978	0.16166
1600	0.08802	0.16547	0.05746	0.13877	0.05838	0.17664	0.05522	0.16682
								
