wavelength	S21&S51	S31&S41
1500	0.20481	0.20923
1502	0.20752	0.21188
1504	0.21016	0.21447
1506	0.21274	0.21699
1508	0.21525	0.21944
1510	0.21767	0.22181
1512	0.22002	0.2241
1514	0.22229	0.2263
1516	0.22447	0.2284
1518	0.22656	0.2304
1520	0.22855	0.23229
1522	0.23044	0.23407
1524	0.23224	0.23573
1526	0.23393	0.23727
1528	0.23552	0.23869
1530	0.237	0.23998
1532	0.23836	0.24114
1534	0.23962	0.24217
1536	0.24076	0.24306
1538	0.24178	0.24382
1540	0.24269	0.24444
1542	0.24349	0.24493
1544	0.24416	0.24527
1546	0.24472	0.24548
1548	0.24516	0.24556
1550	0.24549	0.2455
1552	0.2457	0.24532
1554	0.24579	0.245
1556	0.24577	0.24456
1558	0.24564	0.244
1560	0.24541	0.24331
1562	0.24506	0.24252
1564	0.24461	0.24161
1566	0.24406	0.2406
1568	0.2434	0.23949
1570	0.24266	0.23829
1572	0.24181	0.23699
1574	0.24088	0.23562
1576	0.23985	0.23416
1578	0.23874	0.23263
1580	0.23755	0.23103
1582	0.23628	0.22937
1584	0.23493	0.22766
1586	0.2335	0.2259
1588	0.23201	0.22409
1590	0.23044	0.22225
1592	0.22881	0.22038
1594	0.22712	0.21848
1596	0.22536	0.21655
1598	0.22354	0.21462
1600	0.22166	0.21267
		
