wavelength	S31	S41	S51	S61	S32	S42	S52	S62
1500	0.16186	0.10414	0.10762	0.03861	0.10774	0.03404	0.0985	0.10533
1502	0.16212	0.10226	0.11293	0.04224	0.11302	0.04152	0.10481	0.10349
1504	0.16326	0.10198	0.11869	0.04706	0.11875	0.04963	0.11146	0.10319
1506	0.1653	0.10328	0.12488	0.05304	0.12492	0.05829	0.11845	0.10441
1508	0.16827	0.10611	0.1315	0.0601	0.13151	0.0674	0.12578	0.1071
1510	0.17213	0.11037	0.13852	0.06815	0.1385	0.07687	0.13343	0.11116
1512	0.17683	0.11593	0.14589	0.07708	0.14586	0.08661	0.14139	0.1165
1514	0.1823	0.12265	0.15358	0.08677	0.15352	0.09652	0.14961	0.12295
1516	0.18842	0.13036	0.16151	0.09706	0.16143	0.10651	0.15803	0.13037
1518	0.19506	0.13885	0.16961	0.10783	0.16949	0.11648	0.1666	0.13856
1520	0.20208	0.14791	0.17779	0.11891	0.17763	0.12635	0.17525	0.14731
1522	0.2093	0.15734	0.18597	0.13014	0.18574	0.13605	0.18388	0.15644
1524	0.21657	0.16692	0.19402	0.14137	0.19372	0.14549	0.19241	0.16571
1526	0.22369	0.17642	0.20186	0.15244	0.20147	0.15463	0.20073	0.17493
1528	0.23049	0.18565	0.20938	0.1632	0.20886	0.1634	0.20875	0.1839
1530	0.23678	0.19441	0.21646	0.17352	0.21579	0.17176	0.21636	0.19243
1532	0.24241	0.20252	0.22299	0.18326	0.22217	0.17968	0.22346	0.20034
1534	0.24721	0.20984	0.22888	0.19233	0.22787	0.18712	0.22994	0.20749
1536	0.25105	0.21623	0.23403	0.20063	0.23283	0.19406	0.2357	0.21375
1538	0.25381	0.2216	0.23836	0.20807	0.23694	0.2005	0.24067	0.21903
1540	0.2554	0.22587	0.24179	0.2146	0.24015	0.20642	0.24475	0.22324
1542	0.25576	0.229	0.24426	0.22018	0.24241	0.21182	0.24789	0.22636
1544	0.25483	0.23097	0.24573	0.22478	0.24366	0.21671	0.25001	0.22837
1546	0.25262	0.23181	0.24615	0.22841	0.24389	0.22109	0.25108	0.22927
1548	0.24914	0.23154	0.24551	0.23107	0.24308	0.22496	0.25108	0.22912
1550	0.24444	0.23025	0.24382	0.23279	0.24126	0.22834	0.24999	0.22797
1552	0.23858	0.22801	0.24109	0.23361	0.23842	0.23123	0.24781	0.22592
1554	0.23168	0.22494	0.23734	0.23357	0.23463	0.23365	0.24458	0.22306
1556	0.22385	0.22116	0.23264	0.23274	0.22992	0.23559	0.24031	0.21951
1558	0.21523	0.2168	0.22704	0.23118	0.22436	0.23706	0.23508	0.21542
1560	0.20598	0.21201	0.2206	0.22895	0.21803	0.23806	0.22894	0.2109
1562	0.19627	0.20694	0.21343	0.22612	0.21101	0.23858	0.22198	0.20611
1564	0.18628	0.20173	0.20561	0.22276	0.20339	0.23864	0.21429	0.20119
1566	0.17621	0.19653	0.19724	0.21894	0.19527	0.2382	0.20596	0.19628
1568	0.16622	0.19148	0.18844	0.21471	0.18675	0.23728	0.19711	0.1915
1570	0.15652	0.1867	0.1793	0.21013	0.17793	0.23585	0.18785	0.18699
1572	0.14727	0.18232	0.16995	0.20526	0.16892	0.2339	0.17829	0.18285
1574	0.13864	0.17845	0.16049	0.20014	0.15982	0.23143	0.16855	0.17918
1576	0.13079	0.17516	0.15103	0.19481	0.15072	0.22842	0.15875	0.17607
1578	0.12385	0.17254	0.14168	0.18929	0.14171	0.22486	0.149	0.17358
1580	0.11794	0.17063	0.13253	0.18362	0.13288	0.22075	0.1394	0.17176
1582	0.11316	0.16948	0.12367	0.17782	0.12432	0.21609	0.13005	0.17065
1584	0.10958	0.1691	0.11517	0.1719	0.11608	0.21087	0.12103	0.17026
1586	0.10725	0.16949	0.10712	0.16589	0.10824	0.20512	0.11242	0.1706
1588	0.1062	0.17065	0.09956	0.15979	0.10085	0.19884	0.10429	0.17165
1590	0.10642	0.17253	0.09255	0.15362	0.09394	0.19205	0.09668	0.17338
1592	0.10791	0.1751	0.08612	0.1474	0.08755	0.18479	0.08963	0.17576
1594	0.11061	0.17829	0.0803	0.14112	0.08172	0.1771	0.08317	0.17872
1596	0.11445	0.18205	0.0751	0.13483	0.07644	0.169	0.0773	0.18221
1598	0.11935	0.18628	0.07053	0.12852	0.07174	0.16056	0.07202	0.18616
1600	0.12521	0.19092	0.06658	0.12224	0.06761	0.15183	0.06732	0.19049
								
