wavelength	S21	S31
570	0.90147	1.492E-5
564	0.91348	1.75173E-5
558.125	0.91604	1.0823E-5
552.371	0.92501	4.14102E-6
546.735	0.93412	2.06581E-6
541.212	0.93996	2.42774E-6
535.8	0.94392	3.46912E-6
530.495	0.94583	3.68891E-6
525.294	0.95055	3.59767E-6
520.194	0.95329	3.69015E-6
515.192	0.95319	4.09498E-6
510.286	0.9524	4.77331E-6
505.472	0.95201	2.9492E-6
500.748	0.95193	5.18669E-6
496.111	0.94878	1.40832E-5
491.56	0.94516	9.08521E-6
487.091	0.94204	1.04763E-6
482.703	0.93892	3.97312E-6
478.393	0.93381	4.91352E-6
474.159	0.92613	3.90565E-6
470	0.9208	7.74095E-6
