wavelength	S21	S31
830	0.93667	4.56388E-6
824.354	0.93982	4.73873E-6
818.784	0.94316	5.21209E-6
813.289	0.94652	5.57533E-6
807.867	0.94959	5.58991E-6
802.517	0.95211	5.34221E-6
797.237	0.95403	5.09733E-6
792.026	0.95558	4.95206E-6
786.883	0.95701	4.6944E-6
781.806	0.95847	4.0579E-6
776.795	0.95988	3.07028E-6
771.847	0.96099	2.08167E-6
766.962	0.96153	1.4758E-6
762.138	0.96139	1.45848E-6
757.375	0.96067	2.1562E-6
752.671	0.95961	3.76508E-6
748.025	0.95841	6.36266E-6
743.436	0.95709	9.46554E-6
738.902	0.95551	1.19021E-5
734.424	0.95345	1.23917E-5
730	0.95081	1.04829E-5
