s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0002181000824991,0.0004785167854873,0.9001048273559844,-0.4356454656169704,0.9001048273559844,-0.4356454656169704,-0.0002181000824991,0.0004785167854873,1.26
-0.0002127202390877,0.0004655597766164,0.89027661124849,-0.4553939611516338,0.89027661124849,-0.4553939611516338,-0.0002127202390877,0.0004655597766164,1.2601
-0.0002079165475258,0.0004524030493743,0.8800167115529508,-0.4749180157825015,0.8800167115529508,-0.4749180157825015,-0.0002079165475258,0.0004524030493743,1.2602
-0.000203696849127,0.0004390721266129,0.8693303086603035,-0.4942082317530209,0.8693303086603035,-0.4942082317530209,-0.000203696849127,0.0004390721266129,1.2603
-0.0002000678682154,0.0004255928241588,0.8582227866048098,-0.5132553319465806,0.8582227866048098,-0.5132553319465806,-0.0002000678682154,0.0004255928241588,1.2604
-0.0001970352017843,0.0004119912022361,0.8466997302340555,-0.5320501642753535,0.8466997302340555,-0.5320501642753535,-0.0001970352017843,0.0004119912022361,1.2605
-0.0001946033112199,0.0003982935166196,0.8347669222853966,-0.550583706003093,0.8347669222853966,-0.550583706003093,-0.0001946033112199,0.0003982935166196,1.2606
-0.0001927755162104,0.0003845261694975,0.8224303403699383,-0.5688470679985066,0.8224303403699383,-0.5688470679985066,-0.0001927755162104,0.0003845261694975,1.2607
-0.0001915539906591,0.0003707156602522,0.8096961538656519,-0.5868314989183152,0.8096961538656519,-0.5868314989183152,-0.0001915539906591,0.0003707156602522,1.2608
-0.0001909397608519,0.0003568885360203,0.7965707207210149,-0.6045283893176723,0.7965707207210149,-0.6045283893176723,-0.0001909397608519,0.0003568885360203,1.2609
-0.0001909327055477,0.0003430713425055,0.783060584172214,-0.6219292756857376,0.783060584172214,-0.6219292756857376,-0.0001909327055477,0.0003430713425055,1.261
-0.0001915315584184,0.0003292905746611,0.7691724693733459,-0.6390258444050511,0.7691724693733459,-0.6390258444050511,-0.0001915315584184,0.0003292905746611,1.2611
-0.0001927339123392,0.0003155726277896,0.7549132799439214,-0.6558099356329697,0.7549132799439214,-0.6558099356329697,-0.0001927339123392,0.0003155726277896,1.2612
-0.000194536225939,0.0003019437487879,0.7402900944334356,-0.6722735471028436,0.7402900944334356,-0.6722735471028436,-0.000194536225939,0.0003019437487879,1.2613
-0.0001969338321308,0.0002884299878519,0.725310162706484,-0.6884088378434605,0.725310162706484,-0.6884088378434605,-0.0001969338321308,0.0002884299878519,1.2614
-0.0001999209487334,0.0002750571506249,0.7099809022485659,-0.7042081318156759,0.7099809022485659,-0.7042081318156759,-0.0001999209487334,0.0002750571506249,1.2615
-0.000203490691027,0.0002618507509263,0.6943098943968897,-0.719663921463685,0.6943098943968897,-0.719663921463685,-0.000203490691027,0.0002618507509263,1.2616
-0.0002076350864606,0.0002488359640335,0.6783048804954644,-0.734768871179731,0.6783048804954644,-0.734768871179731,-0.0002076350864606,0.0002488359640335,1.2617
-0.0002123450911425,0.0002360375808135,0.6619737579782407,-0.7495158206810696,0.6619737579782407,-0.7495158206810696,-0.0002123450911425,0.0002360375808135,1.2618
-0.0002176106083334,0.0002234799625998,0.6453245763825665,-0.7638977882971412,0.6453245763825665,-0.7638977882971412,-0.0002176106083334,0.0002234799625998,1.2619
-0.0002234205089077,0.000211186996876,0.6283655332925434,-0.7779079741658038,0.6283655332925434,-0.7779079741658038,-0.0002234205089077,0.000211186996876,1.262
-0.0002297626534402,0.0001991820541001,0.6111049702186105,-0.7915397633371246,0.6111049702186105,-0.7915397633371246,-0.0002297626534402,0.0001991820541001,1.2621
-0.0002366239163629,0.0001874879453722,0.5935513684103739,-0.8047867287835933,0.5935513684103739,-0.8047867287835933,-0.0002366239163629,0.0001874879453722,1.2622
-0.0002439902116321,0.0001761268813796,0.5757133446094118,-0.8176426343151351,0.5757133446094118,-0.8176426343151351,-0.0002439902116321,0.0001761268813796,1.2623
-0.000251846520261,0.0001651204324008,0.557599646741049,-0.8301014373977249,0.557599646741049,-0.8301014373977249,-0.000251846520261,0.0001651204324008,1.2624
-0.0002601769193968,0.0001544894896483,0.5392191495493636,-0.8421572918750129,0.5392191495493636,-0.8421572918750129,-0.0002601769193968,0.0001544894896483,1.2625
-0.0002689646130054,0.0001442542279096,0.5205808501758507,-0.8538045505906606,0.5205808501758507,-0.8538045505906606,-0.0002689646130054,0.0001442542279096,1.2626
-0.0002781919641606,0.0001344340695305,0.5016938636856678,-0.8650377679114083,0.5016938636856678,-0.8650377679114083,-0.0002781919641606,0.0001344340695305,1.2627
-0.0002878405286614,0.0001250476499136,0.4825674185424063,-0.8758517021490545,0.4825674185424063,-0.8758517021490545,-0.0002878405286614,0.0001250476499136,1.2628
-0.0002978910901483,0.0001161127845039,0.4632108520345256,-0.8862413178809265,0.4632108520345256,-0.8862413178809265,-0.0002978910901483,0.0001161127845039,1.2629
-0.0003083236965493,0.0001076464372664,0.4436336056550335,-0.8962017881673714,0.4436336056550335,-0.8962017881673714,-0.0003083236965493,0.0001076464372664,1.263
-0.000319117697734,9.96646908991717e-05,0.4238452204374638,-0.9057284966656574,0.4238452204374638,-0.9057284966656574,-0.000319117697734,9.96646908991717e-05,1.2631
-0.0003302517844019,9.218271860590274e-05,0.4038553322499131,-0.9148170396395618,0.4038553322499131,-0.9148170396395618,-0.0003302517844019,9.218271860590274e-05,1.2632
-0.0003417040280562,8.521475767427436e-05,0.3836736670497665,-0.923463227863611,0.3836736670497665,-0.923463227863611,-0.0003417040280562,8.521475767427436e-05,1.2633
-0.0003534519220992,7.877408467871056e-05,0.3633100361009327,-0.9316630884210144,0.3633100361009327,-0.9316630884210144,-0.0003534519220992,7.877408467871056e-05,1.2634
-0.0003654724237514,7.287299266103376e-05,0.342774331157393,-0.939412866395516,0.342774331157393,-0.939412866395516,-0.0003654724237514,7.287299266103376e-05,1.2635
-0.0003777419970264,6.752276994292515e-05,0.3220765196130654,-0.9467090264554234,0.3220765196130654,-0.9467090264554234,-0.0003777419970264,6.752276994292515e-05,1.2636
-0.0003902366563812,6.273368096358883e-05,0.3012266396230539,-0.9535482543297056,0.3012266396230539,-0.9535482543297056,-0.0003902366563812,6.273368096358883e-05,1.2637
-0.0004029320111295,5.85149489610134e-05,0.2802347951966659,-0.9599274581760978,0.2802347951966659,-0.9599274581760978,-0.0004029320111295,5.85149489610134e-05,1.2638
-0.0004158033105729,5.487474050159699e-05,0.2591111512652526,-0.96584376984006,0.2591111512652526,-0.96584376984006,-0.0004158033105729,5.487474050159699e-05,1.2639
-0.0004288254895592,5.182015211488293e-05,0.2378659287279221,-0.9712945460039936,0.2378659287279221,-0.9712945460039936,-0.0004288254895592,5.182015211488293e-05,1.264
-0.000441973214678,4.935719869257805e-05,0.2165093994761022,-0.9762773692275452,0.2165093994761022,-0.9762773692275452,-0.000441973214678,4.935719869257805e-05,1.2641
-0.0004552209306644,4.749080408512862e-05,0.1950518814014568,-0.9807900488773807,0.1950518814014568,-0.9807900488773807,-0.0004552209306644,4.749080408512862e-05,1.2642
-0.0004685429073359,4.622479349695446e-05,0.1735037333870244,-0.9848306219466962,0.1735037333870244,-0.9848306219466962,-0.0004685429073359,4.622479349695446e-05,1.2643
-0.0004819132865088,4.556188799053456e-05,0.1518753502861546,-0.9883973537643588,0.1518753502861546,-0.9883973537643588,-0.0004819132865088,4.556188799053456e-05,1.2644
-0.000495306129237,4.550370102416368e-05,0.1301771578911749,-0.9914887385934829,0.1301771578911749,-0.9914887385934829,-0.000495306129237,4.550370102416368e-05,1.2645
-0.0005086954630745,4.605073683703223e-05,0.1084196078929184,-0.9941035001192166,0.1084196078929184,-0.9941035001192166,-0.0005086954630745,4.605073683703223e-05,1.2646
-0.0005220553291973,4.720239107383445e-05,0.0866131728352863,-0.9962405918256112,0.0866131728352863,-0.9962405918256112,-0.0005220553291973,4.720239107383445e-05,1.2647
-0.000535359829558,4.89569531916161e-05,0.0647683410664119,-0.9978991972616018,0.0647683410664119,-0.9978991972616018,-0.000535359829558,4.89569531916161e-05,1.2648
-0.0005485831737026,5.13116110114602e-05,0.0428956116889849,-0.9990787301969926,0.0428956116889849,-0.9990787301969926,-0.0005485831737026,5.13116110114602e-05,1.2649
-0.0005616997254296,5.426245713629139e-05,0.0210054895116645,-0.9997788346667033,0.0210054895116645,-0.9997788346667033,-0.0005616997254296,5.426245713629139e-05,1.265
-0.0005746840489994,5.780449738835125e-05,-0.0008915199947372,-0.999999384905514,-0.0008915199947372,-0.999999384905514,-0.0005746840489994,5.780449738835125e-05,1.2651
-0.0005875109548931,6.193166121276198e-05,-0.0227849157353972,-0.9997404851720452,-0.0227849157353972,-0.9997404851720452,-0.0005875109548931,6.193166121276198e-05,1.2652
-0.000600155545099,6.663681392703656e-05,-0.0446642060203976,-0.9990024694627996,-0.0446642060203976,-0.9990024694627996,-0.000600155545099,6.663681392703656e-05,1.2653
-0.0006125932577088,7.191177093105728e-05,-0.0665189135825581,-0.9977859011170092,-0.0665189135825581,-0.9977859011170092,-0.0006125932577088,7.191177093105728e-05,1.2654
-0.0006247999109517,7.774731367594905e-05,-0.0883385805821627,-0.9960915723112866,-0.0883385805821627,-0.9960915723112866,-0.0006247999109517,7.774731367594905e-05,1.2655
-0.0006367517462686,8.413320763223975e-05,-0.1101127735948669,-0.9939205034464172,-0.1101127735948669,-0.9939205034464172,-0.0006367517462686,8.413320763223975e-05,1.2656
-0.0006484254707662,9.105822184959692e-05,-0.1318310885823719,-0.9912739424251094,-0.1318310885823719,-0.9912739424251094,-0.0006484254707662,9.105822184959692e-05,1.2657
-0.0006597982985644,9.851015042964304e-05,-0.1534831558415674,-0.9881533638219796,-0.1534831558415674,-0.9881533638219796,-0.0006597982985644,9.851015042964304e-05,1.2658
-0.0006708479913158,0.0001064758355856,-0.1750586449315979,-0.9845604679461316,-0.1750586449315979,-0.9845604679461316,-0.0006708479913158,0.0001064758355856,1.2659
-0.0006815528975057,0.0001149411924952,-0.1965472695745027,-0.9804971797976978,-0.1965472695745027,-0.9804971797976978,-0.0006815528975057,0.0001149411924952,1.266
