s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0190131638317591,0.0003761123241212,0.7950228690408361,0.5983688477684095,0.7950228690408361,0.5983688477684095,-0.0190131638317591,0.0003761123241212,1.5
-0.019007958493943,0.000360088983296,0.8826970471594924,0.4592983405934848,0.8826970471594924,0.4592983405934848,-0.019007958493943,0.000360088983296,1.5001
-0.0190086765740784,0.0003509289622642,0.9462684552078856,0.307711118336259,0.9462684552078856,0.307711118336259,-0.0190086765740784,0.0003509289622642,1.5002
-0.0190114014240197,0.0003504571587713,0.9840125176317578,0.1477487425589702,0.9840125176317578,0.1477487425589702,-0.0190114014240197,0.0003504571587713,1.5003
-0.0190117350180822,0.0003589148812968,0.9949105609471576,-0.016221801150801,0.9949105609471576,-0.016221801150801,-0.0190117350180822,0.0003589148812968,1.5004
-0.0190053651975743,0.0003748584507546,0.9786767660877658,-0.179727488318062,0.9786767660877658,-0.179727488318062,-0.0190053651975743,0.0003748584507546,1.5005
-0.0189886443393141,0.0003952491081834,0.9357650887287796,-0.3383112958421699,0.9357650887287796,-0.3383112958421699,-0.0189886443393141,0.0003952491081834,1.5006
-0.018959117308782,0.0004157303854956,0.8673560351087,-0.4876535690522275,0.8673560351087,-0.4876535690522275,-0.018959117308782,0.0004157303854956,1.5007
-0.0189159402978278,0.0004310694775874,0.7753237235049623,-0.6236894334046966,0.7753237235049623,-0.6236894334046966,-0.0189159402978278,0.0004310694775874,1.5008
-0.0188601419259505,0.0004357215370985,0.662184181675908,-0.7427190984558011,0.662184181675908,-0.7427190984558011,-0.0188601419259505,0.0004357215370985,1.5009
-0.0187946929102572,0.0004244620073302,0.531026317909048,-0.8415081076292472,0.531026317909048,-0.8415081076292472,-0.0187946929102572,0.0004244620073302,1.501
-0.0187243692712536,0.0003930235659699,0.3854274498295321,-0.917374861721968,0.3854274498295321,-0.917374861721968,-0.0187243692712536,0.0003930235659699,1.5011
-0.0186554146313444,0.0003386719199138,0.2293556741208167,-0.9682630804202464,0.2293556741208167,-0.9682630804202464,-0.0186554146313444,0.0003386719199138,1.5012
-0.0185950276594406,0.0002606589135143,0.0670617054026162,-0.992797258402674,0.0670617054026162,-0.992797258402674,-0.0185950276594406,0.0002606589135143,1.5013
-0.0185507190700974,0.0001605018906837,-0.0970369033447408,-0.9903196151088244,-0.0970369033447408,-0.9903196151088244,-0.0185507190700974,0.0001605018906837,1.5014
-0.0185295969321959,4.2054057438524254e-05,-0.2584760311698239,-0.9609075233429496,-0.2584760311698239,-0.9609075233429496,-0.0185295969321959,4.2054057438524254e-05,1.5015
-0.0185376478794392,-8.86497454033203e-05,-0.4128664849894439,-0.905370922923276,-0.4128664849894439,-0.905370922923276,-0.0185376478794392,-8.86497454033203e-05,1.5016
-0.018579084158391,-0.0002237658099729,-0.5560134036596781,-0.8252297702127485,-0.5560134036596781,-0.8252297702127485,-0.018579084158391,-0.0002237658099729,1.5017
-0.0186558219576545,-0.0003542053188433,-0.6840302939448017,-0.7226721279291252,-0.6840302939448017,-0.7226721279291252,-0.0186558219576545,-0.0003542053188433,1.5018
-0.0187671454549357,-0.0004703423074892,-0.7934445593770351,-0.6004940446846553,-0.7934445593770351,-0.6004940446846553,-0.0187671454549357,-0.0004703423074892,1.5019
