s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0188432610517451,0.0003323052204194,0.8137745966000881,0.5835162047302033,0.7501905128077331,0.5464271629246146,-0.0121055923037565,-8.048930918591175e-06,1.5
-0.0188874747246669,0.0002841633326704,0.918789650811484,0.3981745189484608,0.848809143372147,0.3753770520991323,-0.0121022231853526,-8.088339189350333e-06,1.5001
-0.0189477972648371,0.0002591819455142,0.9822171022530016,0.1948420633516096,0.9090088741167202,0.1873611112617705,-0.0120988192085029,-8.252443206470554e-06,1.5002
-0.0190132088870092,0.0002620302108737,1.0012051233343373,-0.0172757298890596,0.9280812223505144,-0.0091089280418975,-0.0120954018493603,-8.544514862294622e-06,1.5003
-0.0190717207472661,0.0002924017661901,0.9749136444754698,-0.2285827124005339,0.9051794441324024,-0.2051445648261128,-0.0120919924365479,-8.963989257494422e-06,1.5004
-0.0191125191503999,0.0003450508278641,0.9045501800921656,-0.4295262596838196,0.8413550990504272,-0.3918827481234226,-0.0120886114724288,-9.50664985469368e-06,1.5005
-0.0191279060495346,0.0004107116797577,0.7933130993388003,-0.6110288600894493,0.7395087670244027,-0.560886466445928,-0.0120852780196787,-1.016493000776748e-05,1.5006
-0.0191146888018622,0.0004777394512337,0.6462451289175953,-0.7648976068727138,0.6042572696513413,-0.7045256075078116,-0.0120820091726944,-1.0928311942005094e-05,1.5007
-0.0190747697643896,0.000534181111317,0.470003877405816,-0.8841932213344218,0.4417235166111965,-0.8163209111746728,-0.0120788196281665,-1.1783802464939706e-05,1.5008
-0.0190148284889711,0.0005699083407595,0.2725598427355168,-0.9635420994589876,0.2592585816699321,-0.8912355351601999,-0.0120757213634066,-1.2716462681476264e-05,1.5009
-0.0189451507712915,0.0005784321587326,0.0628355664860018,-0.99937744177405,0.0651086562005915,-0.925901145244463,-0.0120727234266639,-1.3709968106249533e-05,1.501
-0.0188778108989725,0.0005580750533875,-0.149697791618549,-0.9900986920930978,-0.1319580055022315,-0.9187684199948956,-0.01206983183911,-1.474717699756044e-05,1.5011
-0.0188245290981596,0.0005122900496669,-0.3554482756257996,-0.9361421545559911,-0.3230472554986068,-0.8701752885279079,-0.0120670496039808,-1.581068528584524e-05,1.5012
-0.0187945847393673,0.0004490675343885,-0.5451360491405305,-0.8399596386420325,-0.4995404288514496,-0.782329942952279,-0.0120643768127163,-1.6883349178225116e-05,1.5013
-0.0187931568265742,0.0003795328814853,-0.7102118425680213,-0.705906133814452,-0.6534828165502491,-0.6592095162658256,-0.0120618108382069,-1.7948759181258567e-05,1.5014
-0.0188203881111762,0.0003159821346858,-0.8432420036311744,-0.5400416522733832,-0.777941736812095,-0.5063791177137622,-0.012059346599417,-1.8991652730119638e-05,1.5015
-0.0188713411228242,0.0002697034982279,-0.938242741285714,-0.3498562991216032,-0.8673181076469512,-0.3307394997460921,-0.0120569768817185,-1.999825608887571e-05,1.5016
-0.018936856185705,0.0002489711960844,-0.9909484930800984,-0.1439311341122317,-0.917597546999164,-0.1402148327830299,-0.0120546926972411,-2.095654988826088e-05,1.5017
-0.0190051612304374,0.0002575683902928,-0.9990023925417936,0.0684497028736772,-0.9265297755783832,0.0566052574201339,-0.0120524836677131,-2.185645623743859e-05,1.5018
-0.0190639494148045,0.0002941025477288,-0.9620604070056812,0.2777179635275489,-0.893728346372055,0.2508531993508743,-0.0120503384142561,-2.2689948694109415e-05,1.5019
-0.0191025570520327,0.0003522364497876,-0.8818046692363412,0.4744523905580251,-0.8206863264175321,0.4337830393218671,-0.0120482449404685,-2.3451089157640905e-05,1.502
-0.0191138559453165,0.0004217958338497,-0.7618656395231919,0.6498025242577146,-0.7107073476895238,0.5971640537191293,-0.0120461909953708,-2.413599846353889e-05,1.5021
-0.0190955242429845,0.000490559198712,-0.6076568162185633,0.7958862178174599,-0.5687552539296573,0.7336507035977505,-0.0120441644059881,-2.4742769015620204e-05,1.5022
-0.0190504695052664,0.0005464141471476,-0.42612958714456,0.906143114109661,-0.4012292273786532,0.8371123204288227,-0.0120421533725671,-2.5271329251959687e-05,1.5023
-0.0189863274446381,0.0005794992381168,-0.225459329219825,0.975628344710014,-0.2156746195591577,0.9029077519027682,-0.0120401467195771,-2.5723270717414893e-05,1.5024
-0.018914123300049,0.0005839522811074,-0.0146768867608153,1.0012333865095542,-0.0204425839428833,0.9280926974479352,-0.0120381341012965,-2.610164778412768e-05,1.5025
-0.0188463311287085,0.0005589550454074,0.1967380251969588,0.9818242466094804,0.1756861125320086,0.9115505104580174,-0.0120361061596359,-2.6410760857429357e-05,1.5026
-0.0187946732088793,0.0005088883478307,0.3992832390224307,0.9182908200873716,0.3638961387541449,0.8540407000714401,-0.0120340546365519,-2.6655932138331672e-05,1.5027
-0.0187680482628109,0.0004425685764943,0.5838612066828127,0.8135052346396934,0.5357337310289811,0.7581630733694456,-0.0120319724435716,-2.684328238169513e-05,1.5028
-0.0187709550119724,0.0003716991558669,0.7421874991452063,0.672191094896437,0.6834861105985547,0.6282392520126093,-0.0120298536928919,-2.697951555666104e-05,1.5029
-0.018802690485483,0.0003088095080573,0.8671623266178043,0.5007095803809709,0.8005271721470832,0.4701170050077214,-0.0120276936945787,-2.707171684273112e-05,1.503
-0.0188574658469894,0.0002650450577927,0.9531883533952852,0.3067721364811639,0.8816139720886985,0.290906295249788,-0.012025488926294,-2.7127167876234567e-05,1.5031
-0.0189254204444403,0.0002481985855385,0.9964205484503442,0.0990928333670991,0.923120780605476,0.0986589871508606,-0.0120232369800182,-2.7153181712338697e-05,1.5032
-0.0189943559941306,0.0002613309692162,0.9949369441151,-0.1130038177584099,0.9232002859821762,-0.0979933298878576,-0.0120209364916949,-2.7156958648663868e-05,1.5033
-0.0190518854090643,0.000302225517669,0.948822806180006,-0.3200018406151211,0.8818648258429688,-0.2902270934095641,-0.0120185870597095,-2.7145462761966847e-05,1.5034
-0.0190876173047806,0.0003637730563808,0.8601646605868828,-0.5126206864408125,0.8009841189349057,-0.4694226676676654,-0.0120161891533706,-2.7125318763063104e-05,1.5035
-0.0190949906473001,0.0004352206676041,0.7329546792825672,-0.6822309093395562,0.6841997210767127,-0.6275506284562476,-0.0120137440190513,-2.7102727015070405e-05,1.5036
-0.0190724354838415,0.0005040645202615,0.5729099148008846,-0.8212400836303475,0.5367601613499958,-0.7575311319205946,-0.0120112535823468,-2.708339554912811e-05,1.5037
-0.0190236543614043,0.0005582534354616,0.3872146228878635,-0.923431816305226,0.3652842623055011,-0.8535503023892049,-0.0120087203514155,-2.70724868086892e-05,1.5038
-0.018956973975743,0.0005883147714879,0.1841972802917716,-0.9842428268677472,0.1774633524441408,-0.9113195275877024,-0.0120061473204477,-2.7074577284044927e-05,1.5039
-0.0188838805184772,0.0005890275881811,-0.0270432345910781,-1.0009658194945477,-0.0182842023766409,-0.9282661311447142,-0.0120035378748221,-2.709362891934282e-05,1.504
-0.0188169962371125,0.0005603475458636,-0.2370455867275253,-0.9728691522216404,-0.2131906101257216,-0.9036469848972564,-0.0120008956979587,-2.7132970326269275e-05,1.5041
-0.0187678535097853,0.0005074196575726,-0.4364098128668394,-0.9012279919092872,-0.3985314559071606,-0.8385800876920863,-0.0119982246797448,-2.719528804448433e-05,1.5042
-0.0187448587973606,0.0004396757058002,-0.6162180527082993,-0.7892655881653657,-0.566016096332659,-0.7359928171884246,-0.011995528826317,-2.7282626728011265e-05,1.5043
-0.0187518057405301,0.0003691745542067,-0.7684333105252417,-0.6420073374233549,-0.7081581820880094,-0.6004892915113615,-0.0119928121718001,-2.739639878911687e-05,1.5044
-0.0187872001732342,0.0003084772561734,-0.8862583480695853,-0.4660542536163241,-0.8186097648526804,-0.438142891497724,-0.0119900786915498,-2.753740373279516e-05,1.5045
-0.0188445168876281,0.0002684311603481,-0.9644386185882604,-0.2692861190431836,-0.8924441017007838,-0.256223330381044,-0.0119873322184626,-2.7705857584537e-05,1.5046
-0.0189133438046431,0.0002562535699748,-0.9994957160005508,-0.0605077699734548,-0.9263745892820944,-0.0628705675812839,-0.011984576362243,-2.7901433246951423e-05,1.5047
-0.0189812127522265,0.0002742530052324,-0.9898810030605052,0.1509454865124722,-0.9189001363417684,0.133269782325043,-0.0119818144347335,-2.812331156059633e-05,1.5048
-0.0190357949280243,0.0003194140027153,-0.9360427300529452,0.3556255465426197,-0.8703705866381618,0.3234331992765353,-0.0119790493814354,-2.8370243733075644e-05,1.5049
-0.0190670746801785,0.0003839194341952,-0.8404038726220981,0.5443935471093648,-0.782969386592555,0.4991278583032396,-0.0119762837223362,-2.8640624410835947e-05,1.505
-0.0190691188010255,0.0004565193167526,-0.7072519120344956,0.7088274436603468,-0.6606143924027341,0.6525135865624188,-0.0119735195043755,-2.8932574543315525e-05,1.5051
-0.0190411294476389,0.0005245060496612,-0.5425456736978906,0.8415970371265659,-0.5087813644343262,0.7767512770614998,-0.0119707582662489,-2.924403263130648e-05,1.5052
-0.0189875945890208,0.0005759491433517,-0.353647970643581,0.936789866882215,-0.3342581394881354,0.8663072071012559,-0.0119680010200711,-2.9572852411018287e-05,1.5053
-0.018917508438379,0.0006017965645208,-0.1489960305279606,0.9901735889431076,-0.1448405509421903,0.9171987484786852,-0.0119652482486414,-2.991690407781113e-05,1.5054
-0.0188427978357436,0.0005974728882535,0.0622756012143311,0.999383264638037,0.051016253829826,0.92717059427974,-0.0119624999221,-3.027417623494287e-05,1.5055
-0.0187762303046854,0.0005636925154557,0.2707428972738071,0.9640252876430822,0.244575483828744,0.8957937445760923,-0.0119597555324531,-3.0642875150689576e-05,1.5056
-0.0187291709594607,0.0005063438828518,0.4671127595243556,0.8856933539340225,0.4272084821776179,0.8244829504853789,-0.0119570141470572,-3.102151755395666e-05,1.5057
-0.0187095824660328,0.0004354637436553,0.6426372498778798,0.7678957862071019,0.5907792203780562,0.7164319580031584,-0.0119542744795192,-3.140901326461425e-05,1.5058
-0.0187206200223391,0.0003634805930474,0.7895031304109911,0.6158974953279098,0.7280063836454765,0.5764695570244901,-0.0119515349760618,-3.180473459556627e-05,1.5059
-0.0187600691538937,0.0003030350153464,0.9011792951557698,0.4364837117474546,0.8327869497540457,0.4108429637995209,-0.011948793915442,-3.220856878414157e-05,1.506
-0.01882072626766,0.0002647594593564,0.972706581549976,0.2376561577066622,0.9004669065709472,0.226938290107675,-0.011946049518502,-3.2620951413526056e-05,1.5061
