s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0224805846419475,-0.0029728067353752,-0.171767484123392,-0.6372218699073003,-0.1718370731148465,-0.6372029362560477,-0.1712355080713905,-0.6342218349518435,-0.1372603812380084,-0.0763186792293532,0.1175019163682661,0.0703718324616534,-0.1712355080713905,-0.6342218349518435,0.1175019163682661,0.0703718324616534,-0.1372603812380084,-0.0763186792293532,1.5
-0.0225748916950467,-0.0004183464487505,-0.2262607814789073,-0.6202714805547668,-0.226328126878784,-0.6202464437937829,-0.225469510850599,-0.6173264747468026,-0.1449631900693145,-0.0597870893585516,0.1248490286392237,0.0561047370280829,-0.225469510850599,-0.6173264747468026,0.1248490286392237,0.0561047370280829,-0.1449631900693145,-0.0597870893585516,1.5001
-0.0223739798319073,0.0021115610153938,-0.2791053884003104,-0.598655066959595,-0.2791699459774961,-0.59862420478273,-0.2780604450240458,-0.5957882367566641,-0.1506704692634595,-0.0425144933415979,0.1304628907727196,0.0410964357503927,-0.2780604450240458,-0.5957882367566641,0.1304628907727196,0.0410964357503927,-0.1506704692634595,-0.0425144933415979,1.5002
-0.0218852504498361,0.0045847047501977,-0.3299003606971555,-0.5725319523837512,-0.3299616228297562,-0.5724955924493452,-0.3286094860265945,-0.5697657627594296,-0.1543169219654717,-0.0247406971260666,0.1342734393259691,0.0255579056870118,-0.3286094860265945,-0.5697657627594296,0.1342734393259691,0.0255579056870118,-0.1543169219654717,-0.0247406971260666,1.5003
-0.0211192009116458,0.0069698554624792,-0.3782602851194851,-0.5420960195376182,-0.3783177854614466,-0.5420545342121539,-0.3767332081422473,-0.539452154363078,-0.1558660796515479,-0.0067104835631791,0.1362362264595802,0.0097058384056699,-0.3767332081422473,-0.539452154363078,0.1362362264595802,0.0097058384056699,-0.1558660796515479,-0.0067104835631791,1.5004
-0.0200896661864243,0.0092371298572265,-0.4238181917059414,-0.5075741583719265,-0.4238715090762034,-0.5075279591889931,-0.4220666026768883,-0.5050734349722621,-0.1553106559702624,0.0113300610319178,0.1363327771866035,-0.0062403454593051,-0.4220666026768883,-0.5050734349722621,0.1363327771866035,-0.0062403454593051,-0.1553106559702624,0.0113300610319178,1.5005
-0.0188137876219886,0.0113586389564311,-0.4662283265111334,-0.4692245198218883,-0.4662770881269331,-0.4691740516728236,-0.4642659156173701,-0.4668867170650287,-0.1526722278861313,0.0291372539181878,0.1345706697898563,-0.0220615863675091,-0.4642659156173701,-0.4668867170650287,0.1345706697898563,-0.0220615863675091,-0.1526722278861313,0.0291372539181878,1.5006
-0.0173115766473883,0.0133091082229149,-0.505168798033911,-0.4273345597967173,-0.5052126820665312,-0.4272802947798098,-0.5030112549595479,-0.4251781261069397,-0.1480002888802514,0.0464732929043448,0.1309832096732997,-0.0375423675924967,-0.5030112549595479,-0.4251781261069397,0.1309832096732997,-0.0375423675924967,-0.1480002888802514,0.0464732929043448,1.5007
-0.0156052266126159,0.0150661712452287,-0.5403440786467405,-0.3822188471946545,-0.5403828159241902,-0.3821612781238057,-0.5380089574363013,-0.3802605461631683,-0.1413708682004925,0.0631093323700975,0.1256285970218083,-0.052473860548727,-0.5380089574363013,-0.3802605461631683,0.1256285970218083,-0.052473860548727,-0.1413708682004925,0.0631093323700975,1.5008
-0.0137184967912924,0.0166102643190735,-0.571487313770253,-0.3342166275178249,-0.5715206884207135,-0.3341562612799683,-0.5689937409396693,-0.3324712330148877,-0.1328849501670771,0.0788281553033222,0.1185885964697185,-0.0666568488401052,-0.5689937409396693,-0.3324712330148877,0.1185885964697185,-0.0666568488401052,-0.1328849501670771,0.0788281553033222,1.5009
-0.0116764291577829,0.0179243223387878,-0.5983623863191372,-0.2836891669770257,-0.5983902352908916,-0.2836265180855596,-0.5957306792576418,-0.282169301310519,-0.1226668386449417,0.093426580531189,0.1099668351446182,-0.0799042854983753,-0.5957306792576418,-0.282169301310519,0.1099668351446182,-0.0799042854983753,-0.1226668386449417,0.093426580531189,1.501
-0.0095054099818888,0.018993601028593,-0.6207657051280286,-0.2310169278172409,-0.6207879167537091,-0.2309525125067502,-0.6180170135426079,-0.2297330587405665,-0.110862452364263,0.1067177770975809,0.0998869102221983,-0.092043450421093,-0.6180170135426079,-0.2297330587405665,0.0998869102221983,-0.092043450421093,-0.110862452364263,0.1067177770975809,1.5011
-0.0072333355535212,0.0198058393191475,-0.6385277183144425,-0.1765966268895015,-0.6385442302528341,-0.1765309579241686,-0.6356837748928459,-0.1755571544056743,-0.0976374070481574,0.1185335648789511,0.08849044527301,-0.1029177912173894,-0.6356837748928459,-0.1755571544056743,0.08849044527301,-0.1029177912173894,-0.0976374070481574,0.1185335648789511,1.5012
-0.0048895665135148,0.0203517113921684,-0.651514173297147,-0.1208382071297087,-0.6515249701726261,-0.1207717892528181,-0.6485971603448701,-0.1200495346483335,-0.0831747212608882,0.1287266225403265,0.0759351244595198,-0.1123885789612011,-0.6485971603448701,-0.1200495346483335,0.0759351244595198,-0.1123885789612011,-0.0831747212608882,0.1287266225403265,1.5013
-0.0025045111140558,0.0206252926387362,-0.6596271408226949,-0.0641617230075915,-0.6596322516953153,-0.0640950488096652,-0.656659601183148,-0.063628241728331,-0.0676720872819466,0.137172400756388,0.0623926266437676,-0.1203364627674555,-0.656659601183148,-0.063628241728331,0.0623926266437676,-0.1203364627674555,-0.0676720872819466,0.137172400756388,1.5014
-0.0001089508507167,0.0206242406495256,-0.6628057954233677,-0.0069941276295945,-0.6628052909939688,-0.0069276736591215,-0.6598104901337266,-0.0067181229891777,-0.0513388133470649,0.1437705288269938,0.0480463468769988,-0.1266628971281844,-0.6598104901337266,-0.0067181229891777,0.0480463468769988,-0.1266628971281844,-0.0513388133470649,0.1437705288269938,1.5015
0.0022665852217433,0.0203495889547873,-0.661026918276512,0.0502340389143378,-0.6610209076259327,0.0502998157706473,-0.6580265756409827,0.0502524786619526,-0.0343926691578347,0.1484456161021632,0.03308885298706,-0.1312913171989968,-0.6580265756409827,0.0502524786619526,0.03308885298706,-0.1312913171989968,-0.0343926691578347,0.1484456161021632,1.5016
0.0045921188610633,0.0198053277379417,-0.6543050801371211,0.1070920310742377,-0.6542937068966544,0.1071566967008062,-0.6513220613846494,0.1068550086412982,-0.0170568757018097,0.1511475209613188,0.0177191410228872,-0.1341679163168079,-0.6513220613846494,0.1068550086412982,0.0177191410228872,-0.1341679163168079,-0.0170568757018097,0.1511475209613188,1.5017
0.0068381468819034,0.0189981049774915,-0.6426924783577929,0.1631522934482958,-0.6426759164414201,0.1632154388050639,-0.6397484497158205,0.1626639525039192,0.0004426342328943,0.1518512886740415,0.0021398492857999,-0.1352619534266056,-0.6397484497158205,0.1626639525039192,0.0021398492857999,-0.1352619534266056,0.0004426342328943,0.1518512886740415,1.5018
0.0089754197672496,0.0179373086646975,-0.626278432295683,0.2179938074231492,-0.6262568815234281,0.2180550498964459,-0.6233941400907053,0.2172600730336083,0.0178797299311834,0.1505569690216329,-0.0134453973981306,-0.13456564064555,-0.6233941400907053,0.2172600730336083,-0.0134453973981306,-0.13456564064555,0.0178797299311834,0.1505569690216329,1.5019
0.0109749312118113,0.0166355334055494,-0.6051885661015867,0.2712053408911717,-0.6051622480517085,0.2712643247978293,-0.6023837575103458,0.2702336432546663,0.0350305424267032,0.1472894090141593,-0.0288344236760758,-0.1320937542772425,-0.6023837575103458,0.2702336432546663,-0.0288344236760758,-0.1320937542772425,0.0350305424267032,0.1472894090141593,1.502
0.0128083686462269,0.0151091671841366,-0.5795837130146844,0.3223885775551648,-0.579552867247587,0.3224449740655276,-0.5768771670171859,0.3211876519894916,0.0516760457698066,0.1420979438594209,-0.043828754596836,-0.1278831147122131,-0.5768771670171859,0.3211876519894916,-0.043828754596836,-0.1278831147122131,0.0516760457698066,0.1420979438594209,1.5021
0.014449008018633,0.0133787339319067,-0.5496585623099074,0.3711611177373431,-0.5496234428528133,0.3712146244154161,-0.5470681438319596,0.3697409182444407,0.0676048119080467,0.1350557841715907,-0.0582357999225783,-0.1219919887030858,-0.5470681438319596,0.3697409182444407,-0.0582357999225783,-0.1219919887030858,0.0676048119080467,0.1350557841715907,1.5022
0.0158727887813773,0.0114687530012817,-0.5156400539914967,0.4171593391459534,-0.515600925889519,0.417209679024185,-0.5131827102642941,0.4155310301106823,0.0826158083107984,0.1262588982339674,-0.0718710741011168,-0.1144993417829574,-0.5131827102642941,0.4155310301106823,-0.0718710741011168,-0.1144993417829574,0.0826158083107984,0.1262588982339674,1.5023
