s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0004857830329361,-0.0001865443134392,-0.7677378470188707,-0.6404672153202718,-0.7677378470188707,-0.6404672153202718,-0.0004857830329361,-0.0001865443134392,1.5
-0.000490047688965,-0.00018720151821,-0.7774044063862201,-0.6286992097013177,-0.7774044063862201,-0.6286992097013177,-0.000490047688965,-0.00018720151821,1.5001
-0.0004943348288514,-0.0001877107323592,-0.7868894533653111,-0.6167867950782147,-0.7868894533653111,-0.6167867950782147,-0.0004943348288514,-0.0001877107323592,1.5002
-0.0004986397037403,-0.0001880713990727,-0.7961908544779123,-0.6047327871652906,-0.7961908544779123,-0.6047327871652906,-0.0004986397037403,-0.0001880713990727,1.5003
-0.0005029575558425,-0.0001882831094165,-0.8053065201383074,-0.5925400328026209,-0.8053065201383074,-0.5925400328026209,-0.0005029575558425,-0.0001882831094165,1.5004
-0.0005072836229652,-0.0001883456023339,-0.8142344051006192,-0.5802114092695402,-0.8142344051006192,-0.5802114092695402,-0.0005072836229652,-0.0001883456023339,1.5005
-0.0005116131429664,-0.0001882587644625,-0.8229725088955916,-0.5677498235910664,-0.8229725088955916,-0.5677498235910664,-0.0005116131429664,-0.0001882587644625,1.5006
-0.0005159413582422,-0.0001880226298559,-0.8315188762562793,-0.5551582118390836,-0.8315188762562793,-0.5551582118390836,-0.0005159413582422,-0.0001880226298559,1.5007
-0.0005202635201707,-0.0001876373795233,-0.8398715975330421,-0.5424395384266867,-0.8398715975330421,-0.5424395384266867,-0.0005202635201707,-0.0001876373795233,1.5008
-0.0005245748935444,-0.0001871033408687,-0.8480288090972973,-0.529596795397278,-0.8480288090972973,-0.529596795397278,-0.0005245748935444,-0.0001871033408687,1.5009
-0.0005288707609657,-0.0001864209870285,-0.8559886937343254,-0.5166330017078399,-0.8559886937343254,-0.5166330017078399,-0.0005288707609657,-0.0001864209870285,1.501
-0.0005331464272376,-0.0001855909360024,-0.8637494810246705,-0.5035512025068088,-0.8637494810246705,-0.5035512025068088,-0.0005331464272376,-0.0001855909360024,1.5011
-0.000537397223689,-0.0001846139497451,-0.8713094477146097,-0.4903544684065726,-0.8713094477146097,-0.4903544684065726,-0.000537397223689,-0.0001846139497451,1.5012
-0.000541618512461,-0.0001834909330259,-0.8786669180749588,-0.4770458947508766,-0.8786669180749588,-0.4770458947508766,-0.000541618512461,-0.0001834909330259,1.5013
-0.0005458056908064,-0.000182222932321,-0.885820264248764,-0.4636286008772548,-0.885820264248764,-0.4636286008772548,-0.0005458056908064,-0.000182222932321,1.5014
-0.0005499541952618,-0.0001808111343534,-0.8927679065873002,-0.4501057293750136,-0.8927679065873002,-0.4501057293750136,-0.0005499541952618,-0.0001808111343534,1.5015
-0.0005540595058344,-0.0001792568647242,-0.8995083139746975,-0.4364804453382304,-0.8995083139746975,-0.4364804453382304,-0.0005540595058344,-0.0001792568647242,1.5016
-0.0005581171501191,-0.0001775615863466,-0.9060400041408252,-0.4227559356144995,-0.9060400041408252,-0.4227559356144995,-0.0005581171501191,-0.0001775615863466,1.5017
-0.0005621227073413,-0.0001757268976786,-0.9123615439628576,-0.4089354080494958,-0.9123615439628576,-0.4089354080494958,-0.0005621227073413,-0.0001757268976786,1.5018
